Feature,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
face/affective processing,3.9712,8.8969,9.2311,1.2202,2.2828,2.1611,1.3027,0.582,-0.8529,2.1718,-1.703,-5.6509,-3.9224,-3.1524,-6.281,-5.7769,1.4895,-5.6312,-4.8328,-3.8731
 verbal semantics,7.6142,2.7057,4.365,3.2031,0.8655,-1.0194,12.7491,10.3617,9.3129,-0.9586,-1.3178,-1.6667,-3.4115,2.9678,-2.2173,-2.4396,-2.0892,0.3207,-0.286,3.1449
cued attention,-0.4965,-0.8532,-0.8574,1.7853,-2.2557,4.1968,-2.4257,-0.5049,1.063,6.2442,5.0048,0.7963,5.5776,0.4401,7.3798,8.3024,3.9123,7.1713,6.4216,6.5744
working memory,0.0467,0.2213,-0.3918,4.071,-1.2959,1.8953,-0.1854,1.5033,4.9993,6.8109,4.8057,3.1875,7.1857,1.3089,11.4949,9.7673,5.6864,8.7236,7.8493,11.259
autobiographical memory,2.9284,2.5124,0.8491,9.9335,6.8223,5.2742,13.2974,7.2687,5.6973,2.3627,1.1407,2.4964,0.8782,9.0098,-1.0658,-1.2424,1.8024,5.414,2.823,5.6027
reading,1.8096,1.5288,0.7575,0.4525,-0.4582,1.7453,-2.7781,1.8424,2.3575,2.228,4.1458,2.8735,4.5529,0.0532,3.0605,4.8081,2.8342,2.6057,3.0862,-0.3504
inhibition,-1.3022,-0.66,-1.1834,0.6,-3.9841,-0.5138,-3.3793,-0.7568,-0.6622,4.9083,6.029,0.168,3.5505,-0.3973,5.88,8.2857,1.4999,2.2785,4.3634,5.6312
motor,-2.3407,3.9097,4.2578,-3.11,0.6447,-5.6762,-8.5581,-0.613,-1.3769,2.5987,12.3975,14.9059,15.0554,6.5068,14.1073,12.5838,10.1802,1.6517,4.9365,-2.8381
visual perception,8.912,4.8446,7.8297,-0.232,-5.7528,3.119,-6.8146,-5.3344,-1.5363,-0.5975,-3.0007,0.145,2.4193,-6.6303,-1.9315,-3.4037,1.2352,-2.4135,-2.6175,-5.8981
numerical cognition,-1.7534,-2.8468,-0.5616,1.1415,-3.1448,0.0373,-2.158,-3.0007,-1.9053,2.2753,2.7381,1.545,3.7649,-2.1364,7.1501,7.2231,2.9541,5.7166,4.674,1.542
reward-based decision making,-6.5036,-6.4027,-4.8598,-1.2746,3.3935,4.3321,-1.3017,-2.1586,-3.7884,-1.0056,0.5557,-2.3092,-0.5836,-0.093,-1.352,1.4525,-1.8309,1.5484,0.5028,0.1065
visual attention,4.8924,1.3335,2.0742,4.1761,-4.9544,3.2356,-3.3872,-1.7917,0.6977,6.0005,3.5247,1.7933,6.021,-3.0631,6.0514,7.5529,3.8416,5.25,4.5794,3.7306
multisensory processing,11.8988,6.6656,7.4023,1.9246,-2.7062,1.7066,-2.9155,3.9022,5.2581,1.5172,-1.3297,4.2855,2.8918,-3.1343,1.3903,-0.0144,3.8746,0.119,-1.5237,-2.3415
visuospatial,4.2525,3.584,5.388,3.9129,-3.274,3.2819,-3.1305,-2.2561,4.0234,4.9031,1.261,5.3952,8.4831,-1.0558,7.1582,3.1058,6.2096,5.5225,4.0453,0.5781
eye movements,2.5117,0.6151,1.6321,-0.5036,-2.9014,1.254,-5.0581,-2.2384,2.0731,0.8115,2.3783,3.1175,10.0269,-2.8601,5.7546,4.4266,1.0419,2.3223,4.7751,1.5766
action,9.5573,11.4194,11.6766,3.0698,1.6764,1.7428,-0.4026,2.7345,3.4698,2.9656,6.7217,10.1983,8.7602,0.91,10.0012,3.3308,7.5753,2.404,3.3934,2.5119
auditory processing,13.8004,5.0183,3.8274,-1.8353,-2.1374,-6.2348,5.8593,18.1655,7.487,-4.3026,-1.0863,5.1964,-3.9579,-1.9896,-0.5217,0.5744,1.9833,-1.3848,-4.1117,-4.0102
pain,-3.5373,6.0286,1.978,1.261,2.5728,-3.8835,-4.9423,0.09,-2.1528,0.1202,6.602,7.9127,1.2338,4.4584,1.9246,5.4668,1.2876,1.7286,3.4623,-2.4782
language,8.5653,7.8081,6.3548,2.1581,2.7174,0.5597,6.9109,9.4559,7.4174,1.6312,1.1024,-0.193,0.8493,3.4385,1.9201,2.1075,1.8259,3.1057,3.7588,6.2943
declarative memory,1.538,2.5071,2.037,8.2376,4.5889,5.1737,12.3441,3.4876,7.7999,7.443,1.0656,1.566,2.3864,8.5123,1.2708,1.137,3.5255,7.9277,3.6818,7.7857
visual semantics,4.7944,6.0943,4.9675,3.0251,-2.3026,0.3449,1.7552,0.4136,0.3973,2.6437,-2.7881,-1.5699,-1.6155,-0.7922,-1.7917,-1.767,1.9869,-0.7933,-2.6565,-0.4174
emotion,2.1048,0.7606,-0.0241,0.9278,8.0462,5.5121,5.5206,5.9225,1.3389,-0.2588,2.2648,-2.486,-3.7649,5.1605,-4.097,-4.5035,-2.6936,1.0017,-0.2923,0.6702
cognitive control,-2.9435,-3.1865,-1.9536,2.2198,-1.6144,1.4905,-1.1841,-1.0437,0.7672,6.3169,4.3272,1.7304,4.1976,2.4468,6.9748,7.7065,3.5915,6.328,6.4974,8.2603
social cognition,0.8225,-0.0189,-0.8883,5.4544,5.4676,3.9845,6.8443,5.3231,-1.2133,-0.3882,0.7219,-2.0003,-2.7216,7.9239,-2.4907,-3.2325,-0.9579,2.136,0.6804,3.9276
